"Shop", "Compras"
"of", "de"
"on cash payment", "via boleto bancário"
"Add New Banner", "Adicionar Novo Banner"
"Add", "Adcionar"
"Add All to Cart", "Comprar Todos"
"Address line 2", "Número"
"Address line 3", "Complemento"
"Address line 4", "Bairro"
"Tax/VAT number", "CPF"
"Max plots", "Parcele em até"
"interest-free", "sem juros"
"View plots", "Ver parcelas"
"Barcode", "Boleto"
"discount via barcode", "off via boleto"
"via barcode", "via boleto"
"for barcode with", "no boleto com"
"of discount", "de desconto"
"Share:", "Compartilhe:"
"(Not %s?)","Não é você?"
"Subscribe to our newsletter and receive news and exclusive promotions by email!", "Assine nosso boletim informativo e receba por email novidades e promoções exclusivas!"
"Quick Overview", "Resumo"
"Total price for all these products:", "Preço total do pacote:"
"Total save with all these products:", "Economia de:"
"Fax", "Telefone 2"
"Logout", "Sair"
"Track", "Rastrear"
"You have no items in your Wishlist.", "Você não possui nenhum item em seus Favoritos."
"Informations", "Informações"
"I accept", "Eu aceito"
"Sign up for Newsletter", "Assinar nossa Newsletter"
"Estimate Shipping", "Calcular Frete"
"Based on your selection, you may be interested in the following items:", "Aproveite e leve junto"
"Select a address", "Selecione um endereço"
"Your order has been received.", "Pedido Realizado com Sucesso!"
"Registered Customers", "Faça Login"
"Remember me", "Me lembre"
"Sign Up for Newsletter", "Assinar nosso Boletim Informativo"
"Total free paid", "Total à vista"
"Payment and Shipping", "Pagamento e Entrega"
"Help? Contact", "Ajuda? Fale com o"
"Support", "Suporte"
"Do not have an account?", "Ainda não possui uma conta?"
"Email addresses", "Endreços de email"
"Subscription Type", "Tipo de Assinatura"
"Sign in", "Entrar"
"Credit Card Owner\'s Name", "Nome impresso no cartão"
"Credit Card Number", "Número do cartão"
"Card Verification Number" "CSV"
"You may also be interested in the following product(s)", "Veja Também"
"Track your order", "Rastrear Pedido"
"Payment Cash Discount", "Desconto Pagamento à vista"
"Discount that will be displayed on the frontend for cash payment. [%]", "Desconto em [%] que será exibido no frontend para pagamento à vista."
"Payment Free Plots", "Exibir parcelamento sem juros"
"Payment Max. Free Plots", "Máximo de parcelas sem juros"
"If you offer interest-free installments, please tell us how many times.", "Se usar parcelamento sem juros informe até quantas parcelas."
"Show Free Shipping Flag", "Exibir label de frete grátis"
"Min product price for free shipping.", "Valor mínimo do produto para frete grátis."
"OFF cash payment", "OFF via boleto"
"Share on Twitter", "Compartilhar no Twitter"
"Share on Facebook", "Compartilhar no Facebook"
"Share on Pinterest", "Compartilhar no Pinterest"
"Share on Whatsapp", "Enviar no WhatsApp"
"no tax", "sem juros"
"on credit card", "no cartão"
"% off", "% OFF"